EvaluationBodyId_anon,PersonId_anon,Country,Country_De,Country_Fr
81f836ab-e81d-4b6d-9316-61a60fe065e4,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
1e2fffba-18bf-405d-b893-6d646f5989fe,3a992430-0f4e-4765-aec5-fc1237d0937e,Germany,Deutschland,Allemagne
cf381c68-4d49-4080-b788-f2001369bbb5,10473eed-9b12-4cd1-8e1d-e0176f852f90,Denmark,Dänemark,Danemark
d65045a2-0b53-4e9e-bd37-7f84c191b9ff,3982a29d-e2f6-4066-85af-69a9e80f94a0,Spain,Spanien,Espagne
e3183fc3-c6a9-41f1-89fb-1f145946d5c8,8a9f3630-f1a5-44af-bbb7-1277e1a8a1b0,UK,UK,UK
dd6ed58f-4b14-4fce-a5f5-00c380e7592a,e3ecd07b-5bc9-4980-83c7-8c54ba150c48,Germany,Deutschland,Allemagne
73aceb2d-6d05-4f7f-ad08-4bfe963b0913,23aa7875-3006-4f1e-882e-204fe06bf866,Switzerland,Schweiz,Suisse
4748dbfa-4371-4c0d-a202-62b5de7fa674,23aa7875-3006-4f1e-882e-204fe06bf866,Switzerland,Schweiz,Suisse
5dcb444a-90c3-49b1-a62f-10c1809bb59f,23aa7875-3006-4f1e-882e-204fe06bf866,Switzerland,Schweiz,Suisse
4e8281bc-cbb7-4e4d-bec0-15ba1520e72c,23aa7875-3006-4f1e-882e-204fe06bf866,Switzerland,Schweiz,Suisse
6976376e-9575-4972-916c-c70a6e3e3e53,e0cb6823-c70c-4ce0-a456-c38403bf27e5,France,Frankreich,France
c603d4f1-f880-49f9-a55b-74cc4ca692d7,e0cb6823-c70c-4ce0-a456-c38403bf27e5,France,Frankreich,France
a90bdcb6-7075-4961-897d-2a8ed6becd42,dc603f05-1ebc-4778-ba19-e386df64d323,USA,USA,États-Unis
c16bdefd-394d-4f08-b628-01cc427e8efd,aa78c697-bceb-4066-8cdf-acb6a43ff147,Switzerland,Schweiz,Suisse
69bbaef9-c25c-4b7f-95c0-7b888f36ac55,aa78c697-bceb-4066-8cdf-acb6a43ff147,Switzerland,Schweiz,Suisse
69b887b9-c480-48c6-aba1-352fef583c6f,aa78c697-bceb-4066-8cdf-acb6a43ff147,Switzerland,Schweiz,Suisse
a116c543-3fe9-4b2b-974e-6a663b897123,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
17fd0255-f8e5-41e2-8228-570bf97f11c3,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
1a9adb77-7ab4-48db-8b93-602bec03097a,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
ae36e436-4f2a-4e6e-9453-d2df783e8840,de3eaa13-af36-4c34-835b-6f850f27b99b,Denmark,Dänemark,Danemark
129d4134-597f-4cac-b801-83e3eade11d1,bb04dc01-fae5-41bb-9726-01a3da5ed140,Switzerland,Schweiz,Suisse
4748dbfa-4371-4c0d-a202-62b5de7fa674,a7707c24-ab39-4087-be84-eae93cc123dc,Germany,Deutschland,Allemagne
374b751b-b68b-4e9b-82af-f33865c324eb,5d430fe8-1c89-4c60-aad3-53c1c6d21efc,Switzerland,Schweiz,Suisse
73aceb2d-6d05-4f7f-ad08-4bfe963b0913,7587dd47-63af-484c-909d-165261f6b093,Switzerland,Schweiz,Suisse
0b2be04b-80ec-4176-9fe4-0ccad543364d,7587dd47-63af-484c-909d-165261f6b093,Switzerland,Schweiz,Suisse
ef0583b7-66e5-4778-945e-c4ed4661685d,56c34d32-307b-40db-8532-68e8feac2d92,Switzerland,Schweiz,Suisse
ad6d969c-cfea-451c-98ec-7c8f1d46d103,aa78c697-bceb-4066-8cdf-acb6a43ff147,Switzerland,Schweiz,Suisse
3d2de244-4c82-4d3e-977d-20fecca9cbc6,e28ee121-f00d-4e33-80e9-cf4cb322cb96,UK,UK,UK
dd6ed58f-4b14-4fce-a5f5-00c380e7592a,3fa6293d-bc3a-4046-a541-bcf245b3747c,Germany,Deutschland,Allemagne
72c84ac7-e12c-4977-8058-61dacfefdc8f,2e9087c2-2165-4a46-b7c1-5cd4f40cbc4f,Switzerland,Schweiz,Suisse
30a71f1f-d052-42a7-bfe2-75bb3bdfb83f,83c3c405-5709-4fa3-acd2-21190a7c5d48,Switzerland,Schweiz,Suisse
865b6248-f160-4101-a63e-33516da98b63,91ad978b-c3b1-4153-9cb7-53b560d9fde6,Switzerland,Schweiz,Suisse
81f836ab-e81d-4b6d-9316-61a60fe065e4,2919127c-164f-45e2-a4c0-51d074a8ac6e,Switzerland,Schweiz,Suisse
8682bac2-a6cb-4aec-8ddf-c205188ddda8,bbdbc77d-e4bb-4d54-93fe-750e77f64768,Switzerland,Schweiz,Suisse
7ea7499c-6220-406c-9019-21ce19b408d4,851fd171-9b38-48e1-bbb9-5eb3cc0ae1bd,Switzerland,Schweiz,Suisse
a116c543-3fe9-4b2b-974e-6a663b897123,b7079b00-cec8-4d22-9ab6-c9688062ee81,Germany,Deutschland,Allemagne
3a026fe0-c4e8-4652-8ad9-b707a4e59c99,19b8e9f3-0a04-4251-8e1a-5afddf7dae50,Belgium,Belgien,Belgique
6df9a48b-ef3a-4e3e-b367-4e2045d9210c,a760d3d2-cc80-482d-a1e2-b7de011fd7f4,Finland,Finnland,Finlande
72c84ac7-e12c-4977-8058-61dacfefdc8f,ad1c61a3-0c03-49bd-8f4c-78625cb7c703,Switzerland,Schweiz,Suisse
c5c7a54c-0205-4fc9-b0ce-7caabf29cd63,20812151-105c-4f74-aa67-8fd168235a11,Austria,Österreich,Autriche
16830dc1-3ede-492a-86e7-ac8903ce4381,cc70f130-998a-4d9c-b21b-c8c5e9665c95,Switzerland,Schweiz,Suisse
8682bac2-a6cb-4aec-8ddf-c205188ddda8,cc70f130-998a-4d9c-b21b-c8c5e9665c95,Switzerland,Schweiz,Suisse
63f20211-c9b9-41c7-9493-d0c6087cf70e,cdf522ce-c6f9-47be-8615-8007bb85765f,Germany,Deutschland,Allemagne
79e64163-158f-4b32-bd08-563a2d01bc0a,fb05b4de-0c80-48a5-b632-71b22572979b,UK,UK,UK
7ea7499c-6220-406c-9019-21ce19b408d4,1d33ab8c-6a72-4e43-93c9-114665a2a4e3,Switzerland,Schweiz,Suisse
bac925b3-44f9-461c-82c4-708e9835d447,95b7a1ad-d0f5-4ac2-b8d3-941c6025fe79,Switzerland,Schweiz,Suisse
79e64163-158f-4b32-bd08-563a2d01bc0a,47bb3863-219b-400c-9dea-ccf7045899a6,Greece,Griechenland,Grèce
e3183fc3-c6a9-41f1-89fb-1f145946d5c8,089d749e-12f3-404d-9d96-e4678282a0c1,Germany,Deutschland,Allemagne
55e24273-e4b9-48c2-8174-47f7222aff5e,7704f528-dc82-4353-94c9-3e5027a2189a,UK,UK,UK
1e2fffba-18bf-405d-b893-6d646f5989fe,e15563c8-2dc7-43bd-8d4e-c557a136eac6,UK,UK,UK
17fd0255-f8e5-41e2-8228-570bf97f11c3,b7079b00-cec8-4d22-9ab6-c9688062ee81,Germany,Deutschland,Allemagne
